Copy,Scale,Add,Triad,replication,repetition
11175141,11174773,16875426,16766074,5,8
11157496,11089357,16698022,16580508,21,8
11141503,11080885,16692086,16572400,6,8
11126431,11145799,16850897,16695526,22,8
11109385,11136432,16845577,16688158,7,8
21995841,22133145,33161600,33182728,23,8
22011449,22131375,33161748,33205421,8,8
21997279,22122358,33153144,33198583,24,8
21984048,22114240,33144884,33192212,9,8
21969624,22105031,33135820,33186187,25,8
21956915,22096813,33127342,33180334,10,8
22081791,22087571,33168852,33300803,26,8
22072731,22079490,33205661,33298137,11,8
22057732,22070871,33101931,33155839,27,8
22042313,22061158,33237572,33281255,12,8
22026617,22052919,33272997,33271796,28,8
22011955,22044669,33269313,33263056,13,8
22027331,22035890,33359123,33254900,29,8
22014666,22027664,33355602,33247135,14,8
21965597,22019425,33196804,33239426,30,8
32795866,33039251,49642274,49602594,15,8
32791442,33053705,49657091,49617247,31,8
11280469,11261257,16822270,16650095,0,9
11233111,11220343,16801272,16764130,16,9
11217074,11205926,16796641,16768775,1,9
11188998,11184435,16803869,16763765,17,9
11306150,11170782,16794309,16755711,2,9
11128775,11151481,16770373,16750256,18,9
11106955,11131601,16764890,16746235,3,9
11240306,11212454,16757251,16740201,19,9
11217418,11204087,16751764,16733374,4,9
11190427,11183656,16795873,16771642,20,9
11177357,11158737,16784250,16776828,5,9
11161717,11152845,16708875,16694299,21,9
11154095,11142918,16708522,16689177,6,9
11140918,11131316,16761867,16737822,22,9
11130115,11119411,16753058,16733643,7,9
21930385,21909965,33177869,33289785,23,9
21929461,21912055,33182544,33334494,8,9
21918208,21902954,33174202,33297022,24,9
21906012,21892233,33163894,33290246,9,9
21892798,21882022,33155374,33285446,25,9
21879621,21872926,33146751,33278533,10,9
21924963,21860855,33180440,33407227,26,9
21955708,22014910,33174129,33429504,11,9
21889070,21934940,33116076,33250615,27,9
21940536,22006570,33155625,33244985,12,9
21930078,22000586,33148839,33401219,28,9
21920559,21993763,33204744,33397885,13,9
21948165,22000890,33278503,33389443,29,9
21954412,22009102,33280582,33382267,14,9
21879621,21931144,33108802,33202112,30,9
32797999,32813886,49623946,49695858,15,9
32813901,32828245,49640269,49728525,31,9
