128.46,39.90,133.91,38.37
129.00,41.04,134.27,39.49
128.82,40.89,134.12,39.40
127.82,38.92,132.78,36.25
128.15,40.00,132.95,36.95
128.91,41.05,133.77,37.85
126.54,36.91,132.17,34.23
129.16,41.21,133.95,37.98
127.69,38.26,132.81,35.31
128.81,41.26,133.42,37.91
128.57,40.39,133.56,37.20
128.93,41.18,133.49,38.13
129.19,41.23,134.00,39.01
128.53,39.85,133.44,37.74
128.24,39.25,133.37,37.27
129.00,40.92,134.06,38.81
127.44,37.88,133.27,36.07
129.27,41.14,134.33,38.98
127.71,38.18,133.10,36.24
129.11,41.19,134.16,38.97
128.75,40.63,133.60,37.52
129.11,41.46,133.26,37.43
128.79,41.41,133.29,37.46
127.74,39.20,133.10,35.76
128.87,41.18,133.25,37.24
126.21,36.00,131.65,32.78
129.01,41.30,133.65,37.34
128.22,39.02,132.97,35.33
115.49,24.89,121.00,23.16
104.98,11.09,110.88,11.14
106.45,11.09,111.76,11.09
103.84,11.01,109.74,11.09
103.43,11.00,109.59,11.09
103.75,10.98,109.62,11.08
103.49,10.98,109.67,11.06
103.35,10.98,110.02,11.05
103.65,11.02,109.70,11.02
103.74,11.04,109.94,11.08
103.44,11.04,109.55,11.11
103.45,11.09,109.83,11.09
103.43,11.11,109.47,11.06
103.40,11.07,109.34,11.11
103.40,11.08,109.55,11.13
103.51,11.04,109.68,11.13
103.40,11.02,109.39,11.09
103.41,11.01,109.68,11.10
103.39,11.03,109.30,11.12
103.36,11.03,109.46,11.09
103.40,11.02,109.46,11.06
103.37,11.05,109.21,11.09
103.39,11.04,109.06,11.11
103.35,11.03,108.72,11.05
103.35,11.04,108.62,11.04
103.61,11.04,108.63,11.02
103.36,11.04,108.84,11.02
103.29,11.01,109.61,11.05
103.33,11.00,108.99,11.04
103.19,10.99,109.42,11.05
103.27,10.98,108.95,11.04
103.28,10.97,109.47,11.00
103.04,11.03,108.45,11.00
103.14,11.02,108.60,11.03
103.11,11.01,108.69,11.00
103.17,10.98,108.77,11.02
103.32,11.00,109.13,11.05
102.95,10.97,109.08,11.09
